
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Sodium Chloride 0.9% Irrigation","Baxter Healthcare","888-229-0001","Sodium Chloride 0.9% In Plastic Container, Irrigation, 900 mg/100 mL (NDC 0338-0048-03)","Reverified","06/21/2024","Limited Availability","On allocation; Recovery Q3","","Demand increase for the drug","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sodium Chloride 0.9% Irrigation","Baxter Healthcare","888-229-0001","Sodium Chloride 0.9% In Plastic Container, Irrigation, 900 mg/100 mL (NDC 0338-0048-04)","Reverified","06/21/2024","Limited Availability","On allocation; Recovery Q3","","Demand increase for the drug","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sodium Chloride 0.9% Irrigation","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Sodium Chloride 0.9% In Plastic Container, Irrigation, 900 mg/100 mL (NDC 0990-6138-22)","Reverified","07/16/2024","Limited Availability","Allocated to Contracted Customers Only. ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-6139-22","","Other","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sodium Chloride 0.9% Irrigation","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Sodium Chloride 0.9% In Plastic Container, Irrigation, 900 mg/100 mL (NDC 0990-6138-03)","Reverified","07/16/2024","Limited Availability","Allocated to Contracted Customers Only. ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-6139-22","","Other","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sodium Chloride 0.9% Irrigation","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Sodium Chloride 0.9% In Plastic Container, Irrigation, 900 mg/100 mL (NDC 0990-7138-09)","Reverified","07/16/2024","Limited Availability","Allocated to Contracted Customers Only. ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-6139-22","","Other","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sodium Chloride 0.9% Irrigation","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Sodium Chloride 0.9% In Plastic Container, Irrigation, 900 mg/100 mL (NDC 0990-7138-36)","Reverified","07/16/2024","Unavailable","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7138-36","","Other","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sodium Chloride 14.6% Injection","Fresenius Kabi USA, LLC","888-386-1300","Sodium Chloride 14.6%, Injection, 2.5 meq/1 mL (NDC 63323-090-20)","Reverified","08/02/2024","Available","Check wholesalers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Current","","","04/05/2022","","","","","","",""
"Sodium Chloride 14.6% Injection","Fresenius Kabi USA, LLC","888-386-1300","Sodium Chloride 14.6%, Injection, 2.5 meq/1 mL (NDC 63323-090-40)","Reverified","08/02/2024","Available","Check wholesalers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Current","","","04/05/2022","","","","","","",""
"Sodium Chloride 14.6% Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Sodium Chloride, Injection, 14.6% 100 mEq/40 mL (2.5 mEq/mL) (NDC 0409-6660-75)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Current","","","04/05/2022","","","","","","",""
"Sodium Chloride 23.4% Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Sodium Chloride, Injection, 400 mEq/100 mL (4 mEq/mL) (NDC 0409-1141-02)","Revised","07/30/2024","Unavailable","Limited Supply Available. Next Delivery: July 2024; Estimated Recovery: September 2024","","Demand increase for the drug","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Current","","","01/01/2020","","","","","","",""
"Sodium Chloride 23.4% Injection","Fresenius Kabi USA, LLC","888-386-1300","Sodium Chloride 23.4%, Injection, 4 meq/1 mL (NDC 63323-099-63)","Revised","08/02/2024","Available","Check wholesalers for inventory","","","Gastroenterology; Endocrinology/Metabolism; Total Parenteral Nutrition; Pediatric","Current","","","01/01/2020","","","","","","",""
"Sodium Chloride 23.4% Injection","Fresenius Kabi USA, LLC","888-386-1300","Sodium Chloride 23.4%, Injection, 4 meq/1 mL (NDC 63323-093-30)","Revised","08/02/2024","Available","Check wholesalers for inventory","","","Gastroenterology; Endocrinology/Metabolism; Total Parenteral Nutrition; Pediatric","Current","","","09/18/2023","","","","","","",""
"Sodium Phosphate, Dibasic, Anhydrous, Sodium Phosphate, Monobasic, Monohydrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Injection, 15 mL vial (NDC 0409-7391-72)","Revised","08/02/2024","","","Available","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Resolved","08/02/2024","","09/01/2021","","","","","","",""
"Sodium Phosphate, Dibasic, Anhydrous, Sodium Phosphate, Monobasic, Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 5 mL vial (NDC 63323-884-06)","Revised","08/02/2024","","","Available","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Resolved","08/02/2024","","09/01/2021","","","","","","",""
"Sodium Phosphate, Dibasic, Anhydrous, Sodium Phosphate, Monobasic, Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 15 mL vial (NDC 63323-881-16)","Revised","08/02/2024","","","Available","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Resolved","08/02/2024","","09/01/2021","","","","","","",""
"Sodium Phosphate, Dibasic, Anhydrous, Sodium Phosphate, Monobasic, Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 50 mL vial (NDC 63323-886-56)","Revised","08/02/2024","","","Available","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Resolved","08/02/2024","","09/01/2021","","","","","","",""
"Sodium Phosphate, Dibasic, Anhydrous, Sodium Phosphate, Monobasic, Monohydrate Injection","American Regent, Inc.","800-645-1706","Injection, 15 mL vial (NDC 0517-7315-25)","Revised","08/02/2024","","","Available","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Resolved","08/02/2024","","09/01/2021","","","","","","",""
"Sodium Phosphate, Dibasic, Anhydrous, Sodium Phosphate, Monobasic, Monohydrate Injection","American Regent, Inc.","800-645-1706","Injection, 5 mL vial (NDC 0517-7305-25)","Revised","08/02/2024","","","Available","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Resolved","08/02/2024","","09/01/2021","","","","","","",""
"Sodium Phosphate, Dibasic, Anhydrous, Sodium Phosphate, Monobasic, Monohydrate Injection","American Regent, Inc.","800-645-1706","Injection, 50 mL vial (NDC 0517-7350-25)","Revised","08/02/2024","","","Available","","Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition","Resolved","08/02/2024","","09/01/2021","","","","","","",""
"Somatropin Injection","Genentech, Inc","800-551-2231","Nutropin AQ, Injection, 10 mg/2 mL (NDC 50242-074-01)","New","03/22/2024","","The decision to discontinue commercial distribution of Nutropin AQ in the United States is a business decision, taken in view of the availability of generic and alternative treatments for patients, and is not related to any quality, safety or efficacy concerns with the product.","","","Endocrinology/Metabolism","To Be Discontinued","","03/22/2024","03/22/2024","","","","","","",""
"Somatropin Injection","Genentech, Inc","800-551-2231","Nutropin AQ, Injection, 5 mg/2 mL (NDC 50242-075-01)","New","03/22/2024","","The decision to discontinue commercial distribution of Nutropin AQ in the United States is a business decision, taken in view of the availability of generic and alternative treatments for patients, and is not related to any quality, safety or efficacy concerns with the product.","","","Endocrinology/Metabolism","To Be Discontinued","","03/22/2024","03/22/2024","","","","","","",""
"Somatropin Injection","Genentech, Inc","800-551-2231","Nutropin AQ, Injection, 20 mg/2 mL (NDC 50242-076-01)","New","03/22/2024","","The decision to discontinue commercial distribution of Nutropin AQ in the United States is a business decision, taken in view of the availability of generic and alternative treatments for patients, and is not related to any quality, safety or efficacy concerns with the product.","","","Endocrinology/Metabolism","To Be Discontinued","","03/22/2024","03/22/2024","","","","","","",""
"Somatropin Injection","Novo Nordisk, Inc.","609-987-5800","Norditropin, Injection, 5 mg/1.5 mL (NDC 0169-7704-21)","Revised","07/31/2024","Limited Availability","Intermittent Supply until end of Q2 2024","","Delay in shipping of the drug","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Novo Nordisk, Inc.","609-987-5800","Norditropin, Injection, 10 mg/1.5 mL (NDC 0169-7705-21)","Revised","07/31/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Novo Nordisk, Inc.","609-987-5800","Norditropin, Injection, 15 mg/1.5 mL (NDC 0169-7708-21)","Revised","07/31/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Novo Nordisk, Inc.","609-987-5800","Norditropin, Injection, 30 mg/3 mL (NDC 0169-7703-21)","Revised","07/31/2024","Unavailable","Unavailable until end of 2024","","Delay in shipping of the drug","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Sandoz Inc.","800-525-8747","Omnitrope, Injection, 5 mg/1.5 mL (NDC 0781-3001-07)","Reverified","07/19/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Sandoz Inc.","800-525-8747","Omnitrope, Injection, 10 mg/1.5 mL (NDC 0781-3004-07)","Reverified","07/19/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Eli Lilly and Co.","800-545-5979","Humatrope, Injection, 12 mg/vial (NDC 0002-8148-01)","Revised","08/02/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Eli Lilly and Co.","800-545-5979","Humatrope, Injection, 24 mg/vial (NDC 0002-8149-01)","Revised","08/02/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 5 mg/mL, w/ preservative (NDC 0013-2626-81)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 12 mg/mL, w/ preservative (NDC 0013-2646-81)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 0.2 mg preservative free (NDC 0013-2649-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 0.4 mg preservative free (NDC 0013-2650-02)","Revised","07/30/2024","Unavailable","Next Delivery: September 2024; Estimated Recovery: December 2024","","Demand increase for the drug","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 0.6 mg preservative free (NDC 0013-2651-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 0.8 mg preservative free (NDC 0013-2652-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 1.0 mg preservative free (NDC 0013-2653-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 1.2 mg preservative free (NDC 0013-2654-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 1.4 mg preservative free (NDC 0013-2655-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 1.6 mg preservative free (NDC 0013-2656-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 1.8 mg preservative free (NDC 0013-2657-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Pfizer Inc.","800-533-4535","Genotropin, Injection, 2.0 mg preservative free (NDC 0013-2658-02)","Revised","07/30/2024","Available","","","","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","","",""
"Somatropin Injection","Genentech, Inc","800-551-2231","Nutropin Aq, Injection, 10 mg/2 mL (NDC 50242-074-01)","Revised","03/22/2024","Limited Availability","","","Discontinuation of the manufacture of the drug","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Somatropin%20Injection&st=d","",""
"Somatropin Injection","Genentech, Inc","800-551-2231","Nutropin Aq, Injection, 5 mg/2 mL (NDC 50242-075-01)","Revised","03/22/2024","Limited Availability","","","Discontinuation of the manufacture of the drug","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Somatropin%20Injection&st=d","",""
"Somatropin Injection","Genentech, Inc","800-551-2231","Nutropin Aq, Injection, 20 mg/2 mL (NDC 50242-076-01)","Revised","03/22/2024","Limited Availability","","","Discontinuation of the manufacture of the drug","Endocrinology/Metabolism","Current","","","01/06/2023","","","","","https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Somatropin%20Injection&st=d","",""
"Sterile Water Injection","Nephron Pharmaceuticals Corporation","800-443-4313","Injection, 1 mL/1 mL (NDC 0487-6105-01)","Reverified","07/17/2024","Product will be made available as it is released, TBD","","","Requirements related to complying with good manufacturing practices","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Sterile Water For Injection, Injection, 1 mL/1 mL (NDC 0641-6147-10)","Revised","07/25/2024","Available","","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Injection, 1 mL/1 mL (NDC 0409-4887-10)","Revised","07/30/2024","Available","","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Injection, 1 mL/1 mL (NDC 0409-4887-20)","Revised","07/30/2024","Available","","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Injection, 1 mL/1 mL (NDC 0409-4887-50)","Revised","07/30/2024","Available","","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Injection, 1 mL/1 mL (NDC 0409-4887-99)","Revised","07/30/2024","Available","","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Fresenius Kabi USA, LLC","888-386-1300","Sterile Water For Injection In Plastic Container, Injection, 1 mL/1 mL (NDC 63323-185-10)","Reverified","08/02/2024","Available","Check wholesalers for inventory","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Fresenius Kabi USA, LLC","888-386-1300","Sterile Water For Injection In Plastic Container, Injection, 1 mL/1 mL (NDC 63323-185-20)","Reverified","08/02/2024","Available","Check wholesalers for inventory","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Fresenius Kabi USA, LLC","888-386-1300","Sterile Water For Injection In Plastic Container, Injection, 1 mL/1 mL (NDC 63323-185-50)","Reverified","08/02/2024","Available","Check wholesalers for inventory","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Medefil, Inc.","630-682-4600","Injection, 10 mL/10 mL (NDC 64253-020-30)","Reverified","07/15/2024","Available","","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bacteriostatic Water For Injection In Plastic Container, Injection, 1 mL/1 mL (NDC 0409-3977-03)","Revised","07/30/2024","Available","","","","Other","Current","","","12/03/2021","","","","","","",""
"Sterile Water Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 1000 mL/1000 mL (NDC 63323-178-76)","Reverified","08/02/2024","Available","Check wholesalers for inventory","","","Other","Current","","","11/23/2021","","","","","","",""
"Sterile Water Irrigant","B. Braun Medical Inc.","800-227-2862","Sterile Water In Plastic Container, Irrigant, 1 mL/1 mL (NDC 0264-2101-10)","Reverified","07/16/2024","Available","On allocation","","","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","B. Braun Medical Inc.","800-227-2862","Sterile Water In Plastic Container, Irrigant, 1 mL/1 mL (NDC 0264-2101-00)","Reverified","07/16/2024","Available","On allocation","","","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Sterile Water In Plastic Container, Irrigant, 1 mL/1 mL (NDC 0990-6139-22)","Reverified","07/16/2024","Limited Availability","Allocated to Contracted Customers Only. ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-6139-22","","Other","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Sterile Water In Plastic Container, Irrigant, 1 mL/1 mL (NDC 0990-6139-03)","Reverified","07/16/2024","Limited Availability","Allocated to Contracted Customers Only. ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-6139-22","","Other","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Sterile Water In Plastic Container, Irrigant, 1 mL/1 mL (NDC 0990-7139-09)","Reverified","07/16/2024","Limited Availability","Allocated to Contracted Customers Only. ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-6139-22","","Other","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Sterile Water In Plastic Container, Irrigant, 1 mL/1 mL (NDC 0990-7139-36)","Reverified","07/16/2024","Limited Availability","Allocated to Contracted Customers Only. ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-6139-22","","Other","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","Baxter Healthcare","888-229-0001","Sterile Water, Irrigant, 100 mL/100 mL (NDC 0338-0004-02)","Reverified","06/21/2024","Limited Availability","On allocation; Recovery Q3 2024","","Demand increase for the drug","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","Baxter Healthcare","888-229-0001","Sterile Water, Irrigant, 100 mL/100 mL (NDC 0338-0004-03)","Reverified","06/21/2024","Limited Availability","On allocation; Recovery Q3 2024","","Demand increase for the drug","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","Baxter Healthcare","888-229-0001","Sterile Water, Irrigant, 100 mL/100 mL (NDC 0338-0004-04)","Reverified","06/21/2024","Limited Availability","On allocation; Recovery Q3 2024","","Demand increase for the drug","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","B. Braun Medical Inc.","800-227-2862","Sterile Water In Plastic Container, Irrigant, 1 mL/1 mL (NDC 0264-2101-10)","Reverified","07/16/2024","Available","On allocation","","","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Sterile Water Irrigant","B. Braun Medical Inc.","800-227-2862","Sterile Water In Plastic Container, Irrigant, 1 mL/1 mL (NDC 0264-2101-00)","Reverified","07/16/2024","Available","On allocation","","","Gastroenterology; Other; Pediatric","Current","","","04/28/2023","","","","","","",""
"Streptozocin Powder, For Solution","ESTEVE PHARMACEUTICALS, S.A.","mcomasl@esteve.com","Zanosar, Powder, For Solution, 1 g/10 mL (NDC 68118-100-01)","Reverified","01/15/2024","Available","","","","Oncology","Current","","","07/12/2022","","","","","https://www.fda.gov/media/166810/download","",""
"Streptozocin Powder, For Solution","Teva Pharmaceuticals USA, Inc.","800-545-8800","Zanosar, Powder, For Solution, 100 mg/1 mL (NDC 0703-4636-01)","Reverified","07/19/2024","Unavailable","Estimated Recovery TBD","","Other","Oncology","Current","","","07/12/2022","","","","","","",""
"Sucralfate Tablet","Nostrum Laboratories, Inc.","816-841-4636","Tablet, 1 g (NDC 29033-003-01)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sucralfate Tablet","Nostrum Laboratories, Inc.","816-841-4636","Tablet, 1 g (NDC 29033-003-05)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sucralfate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Sucralfate Tablets, USP, Tablet, 1 g (NDC 0093-2210-01)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sucralfate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Sucralfate Tablets, USP, Tablet, 1 g (NDC 0093-2210-05)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sucralfate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Sucralfate Tablets, USP, Tablet, 1 g (NDC 0093-2210-98)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sucralfate Tablet","Allergan, Inc.","800-678-1605","Carafate, Tablet, 1 g (NDC 58914-171-10)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sucralfate Tablet","Allergan, Inc.","800-678-1605","Tablet, 1 g (NDC 59762-040-11)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sucralfate Tablet","Allergan, Inc.","800-678-1605","Tablet, 1 g (NDC 59762-040-15)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sucralfate Tablet","Amneal Pharmaceuticals","866-525-7270","Tablet, 1 g (NDC 69238-1656-1)","Revised","07/15/2024","","","Available","","Gastroenterology","Resolved","07/15/2024","","01/04/2023","","","","","","",""
"Sufentanil Citrate Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Sufentanil Citrate Injection, USP, Injection, 50 mcg/1 mL (NDC 17478-050-02)","Reverified","07/25/2024","Unavailable","Not currently manufactured","","Demand increase for the drug","Analgesia/Addiction; Pediatric","Current","","","05/03/2022","","","","","","",""
"Sufentanil Citrate Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Sufentanil Citrate Injection, USP, Injection, 50 mcg/1 mL (NDC 17478-050-05)","Reverified","07/25/2024","Unavailable","Not currently manufactured","","Demand increase for the drug","Analgesia/Addiction; Pediatric","Current","","","05/03/2022","","","","","","",""
"Sufentanil Citrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Injection, 50 ug/1 mL (NDC 0409-3382-21)","Revised","07/30/2024","Limited Availability","Limited Supply Available. Next Delivery: July 2024; Estimated Recovery: September 2024","","Demand increase for the drug","Analgesia/Addiction; Pediatric","Current","","","05/03/2022","","","","","https://www.fda.gov/media/179002/download","",""
"Sufentanil Citrate Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Sufentanil Citrate Injection, USP, Injection, 50 mcg/1 mL (NDC 17478-050-01)","Reverified","07/25/2024","Unavailable","Not currently manufactured","","Demand increase for the drug","Analgesia/Addiction; Pediatric","Current","","","05/03/2022","","","","","","",""
"Sulfasalazine Tablet","Chartwell Molecular Holdings LLC","845-268-5000 Ext. 510","Sulfasalazine, Tablet, 500 mg (NDC 62135-960-01)","Revised","05/21/2024","","","Available","","Gastroenterology","Resolved","05/21/2024","","04/24/2020","","","","","","",""
"Sulfasalazine Tablet","Chartwell Molecular Holdings LLC","845-268-5000 Ext. 510","Sulfasalazine, Tablet, 500 mg (NDC 62135-960-05)","Revised","05/21/2024","","","Available","","Gastroenterology","Resolved","05/21/2024","","04/24/2020","","","","","","",""
"Sulfasalazine Tablet","Chartwell Molecular Holdings LLC","845-268-5000 Ext. 510","Sulfasalazine, Tablet, 500 mg (NDC 62135-960-10)","Revised","05/21/2024","","","Available","","Gastroenterology","Resolved","05/21/2024","","04/24/2020","","","","","","",""
"Sulfasalazine Tablet","Chartwell Molecular Holdings LLC","845-268-5000 Ext. 510","Sulfasalazine, Tablet, 500 mg (NDC 62135-960-31)","Revised","05/21/2024","","","Available","","Gastroenterology","Resolved","05/21/2024","","04/24/2020","","","","","","",""
"Sulfasalazine Tablet","Pfizer Inc.","800-533-4535","Azulfidine, Tablet, 500 mg (NDC 0013-0101-30)","Revised","05/21/2024","","","","","Gastroenterology","Resolved","05/21/2024","","04/24/2020","","","","","","",""
"Sulfasalazine Tablet","Pfizer Inc.","800-533-4535","Azulfidine, Tablet, 500 mg (NDC 0013-0102-60)","Revised","05/21/2024","","","","","Gastroenterology","Resolved","05/21/2024","","06/13/2023","","","","","","",""
"Sulfasalazine Tablet","Pfizer Inc.","800-533-4535","Tablet, 500 mg (NDC 59762-0104-5)","Revised","05/21/2024","","","","","Gastroenterology","Resolved","05/21/2024","","04/27/2020","","","","","","",""
"Sulfasalazine Tablet","Pfizer Inc.","800-533-4535","Tablet, 500 mg (NDC 59762-5000-5)","Revised","05/21/2024","","","","","Gastroenterology","Resolved","05/21/2024","","04/27/2020","","","","","","",""
"Sulfasalazine Tablet","Pfizer Inc.","800-533-4535","Azulfidine, Tablet, 500 mg (NDC 0013-0101-10)","Revised","05/21/2024","","","","","Gastroenterology","Resolved","05/21/2024","","04/24/2020","","","","","","",""
"Sulfasalazine Tablet","Pfizer Inc.","800-533-4535","Azulfidine, Tablet, 500 mg (NDC 0013-0101-20)","Revised","05/21/2024","","","","","Gastroenterology","Resolved","05/21/2024","","04/24/2020","","","","","","",""
